label,pattern,attr,replace,category,hyphenate,notes
about,about,lower,about,,,
about,ca,lower,about,,,
about,ca.,lower,about,,,
color,black,lower,,,,
color,blue,lower,,,,
color,brown,lower,,,,
color,cream,lower,white,,,
color,cream-yellow,lower,yellow,,,
color,creamy,lower,white,,,
color,crimson,lower,red,,,
color,glaucous-pink,lower,pink,,,
color,gold,lower,,,,
color,golden,lower,,,,
color,golden-yellow,lower,yellow,,,
color,gray,lower,,,,
color,green,lower,,,,
color,grey,lower,,,,
color,ivory,lower,white,,,
color,lavendar,lower,purple,,,
color,lavender,lower,purple,,,
color,lemon,lower,yellow,,,
color,lilac,lower,purple,,,
color,maroon,lower,red-brown,,,
color,olive,lower,,,,
color,olive-green,lower,green,,,
color,orange,lower,,,,
color,pink,lower,,,,
color,purple,lower,,,,
color,red,lower,,,,
color,rose,lower,pink,,,
color,rose-colored,lower,pink,,,
color,rose-coloured,lower,pink,,,
color,salmon,lower,,,,
color,salmon-pink,lower,orange-pink,,,
color,scarlet,lower,red,,,
color,silver,lower,,,,
color,stramineous,lower,yellow,,,
color,straw-colored,lower,yellow,,,
color,straw-coloured,lower,yellow,,,
color,sulfur-yellow,lower,yellow,,,
color,sulphur-yellow,lower,yellow,,,
color,tan,lower,,,,
color,violet,lower,purple,,,
color,white,lower,,,,
color,yellow,lower,,,,
color_follower,backed,lower,,,,
color_follower,colored,lower,,,,
color_follower,dot,lower,,,,
color_follower,dots,lower,,,,
color_follower,lined,lower,,,,
color_follower,lines,lower,,,,
color_follower,longitudinal,lower,,,,
color_follower,mottled,lower,,,,
color_follower,spot,lower,,,,
color_follower,spots,lower,,,,
color_follower,spotted,lower,,,,
color_follower,stripe,lower,,,,
color_follower,striped,lower,,,,
color_follower,stripes,lower,,,,
color_follower,throated,lower,,,,
color_follower,tinge,lower,,,,
color_follower,tinged,lower,,,,
color_follower,tinges,lower,,,,
color_follower,tip,lower,,,,
color_follower,tipped,lower,,,,
color_follower,tips,lower,,,,
color_follower,vein,lower,,,,
color_leader,blackish,lower,black,,,
color_leader,blueish,lower,blue,,,
color_leader,brownish,lower,brown,,,
color_leader,grayish,lower,gray,,,
color_leader,greenish,lower,green,,,
color_leader,greyish,lower,gray,,,
color_leader,pinkish,lower,pink,,,
color_leader,purpleish,lower,purple,,,
color_leader,purplish,lower,purple,,,
color_leader,reddish,lower,red,,,
color_leader,silvery,lower,silver,,,
color_leader,violetish,lower,purple,,,
color_leader,whitish,lower,white,,,
color_leader,yellowish,lower,yellow,,,
conj_phrase,and with,lower,,,,Needed because we treat “with” specially
conj_phrase,or with,lower,,,,Needed because we treat “with” specially
count_suffix,-callose,lower,callose,,,
count_suffix,-flowered,lower,flower,,,
count_suffix,-foliolate,lower,leaf,,,
count_suffix,-jointed,lower,joint,,,
count_suffix,-lobed,lower,lobe,,,
count_suffix,-locular,lower,locular,,,
count_suffix,-rayed,lower,ray,,,
count_suffix,-toothed,lower,tooth,,,
count_suffix,-veined,lower,vein,,,
count_word,achlamydeous,lower,0,perianth,,
count_word,bilobed,lower,2,lobe,,
count_word,no lobes,lower,0,lobe,,
count_word,trilobed,lower,3,lobe,,
count_word,unlobed,lower,0,lobe,,
dimension,d.b.h.,lower,dbh,,,
dimension,dbh,lower,dbh,,,
dimension,dia,lower,diameter,,,
dimension,diam,lower,diameter,,,
dimension,diameter,lower,diameter,,,
dimension,diameter at breast height,lower,dbh,,,
dimension,diameter breast height,lower,dbh,,,
dimension,height,lower,height,,,
dimension,high,lower,height,,,
dimension,in dia,lower,diameter,,,
dimension,in diam,lower,diameter,,,
dimension,in diameter,lower,diameter,,,
dimension,in height,lower,height,,,
dimension,length,lower,length,,,
dimension,long,lower,length,,,
