label,pattern,attr,replace,category,hyphenate,pos
about,about,lower,about,,,SCONJ
about,approx,lower,about,,,ADJ
about,approx.,lower,about,,,ADJ
about,approximate,lower,about,,,ADJ
about,ca,lower,about,,,SCONJ
about,ca.,lower,about,,,SCONJ
color,black,lower,,,,ADJ
color,blackish,lower,black,,,ADJ
color,blue,lower,,,,ADJ
color,blueish,lower,blue,,,ADJ
color,brown,lower,,,,ADJ
color,brownish,lower,brown,,,ADJ
color,cream,lower,white,,,ADJ
color,cream-yellow,lower,yellow,,,ADJ
color,creamy,lower,white,,,ADJ
color,crimson,lower,red,,,ADJ
color,glaucous-pink,lower,pink,,,ADJ
color,gold,lower,,,,ADJ
color,golden,lower,,,,ADJ
color,golden-yellow,lower,yellow,,,ADJ
color,gray,lower,,,,ADJ
color,grayish,lower,gray,,,ADJ
color,green,lower,,,,ADJ
color,greenish,lower,green,,,ADJ
color,grey,lower,,,,ADJ
color,greyish,lower,gray,,,ADJ
color,ivory,lower,white,,,ADJ
color,lavendar,lower,purple,,,ADJ
color,lavender,lower,purple,,,ADJ
color,lemon,lower,yellow,,,ADJ
color,lilac,lower,purple,,,ADJ
color,maroon,lower,red-brown,,,ADJ
color,olive,lower,,,,ADJ
color,olive-green,lower,green,,,ADJ
color,orange,lower,,,,ADJ
color,pink,lower,,,,ADJ
color,pinkish,lower,pink,,,ADJ
color,purple,lower,,,,ADJ
color,purpleish,lower,purple,,,ADJ
color,purplish,lower,purple,,,ADJ
color,red,lower,,,,ADJ
color,reddish,lower,red,,,ADJ
color,rose,lower,pink,,,ADJ
color,rose-colored,lower,pink,,,ADJ
color,rose-coloured,lower,pink,,,ADJ
color,roseate,lower,,,,ADJ
color,salmon,lower,,,,ADJ
color,salmon-pink,lower,orange-pink,,,ADJ
color,scarlet,lower,red,,,ADJ
color,silver,lower,,,,ADJ
color,silvery,lower,silver,,,ADJ
color,stramineous,lower,yellow,,,ADJ
color,straw-colored,lower,yellow,,,ADJ
color,straw-coloured,lower,yellow,,,ADJ
color,sulfur-yellow,lower,yellow,,,ADJ
color,sulphur-yellow,lower,yellow,,,ADJ
color,tan,lower,,,,ADJ
